NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,ANNUAL_SALES,AVERAGE_CHECK,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,"% Share of F&B Purchases from Company",Percentage_Range
"PIZZA MAN","MAPLE GROVE",MN,55369,6252,27053,HENNEPIN,5120,"LSR - QUICK CASUAL","PIZZA, PASTA & ITALIAN",PIZZERIA,"INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","$7 TO $10",202131.010423078,185971.302727695,16159.7076953826,32704.1703358934,26932.846158971,35147.3642374572,59637.0164948644,0.3989256464945855,<50%
"AZTECA MEXICAN GRILL",OSWEGO,NY,13126,2120,36075,OSWEGO,8160,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,"INDEPENDENT (1-9 UNITS)","10 TO 19","<=$500,000","$10 TO $15",134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.8978118779492792,">70% & <90%"
MCDONALD'S,"OCEAN SPRINGS",MS,39564,4519,28059,JACKSON,920,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,"501+ UNITS","20 TO 49","$1,000,001 - $2,500,000","$5 TO $7",755024.7006,632314.316526478,122710.384073522,118397.189554242,64697.9177892031,140897.68762982,205739.378569666,0.17439528736421428,<50%
"GOLDEN CORRAL",MCCOMB,MS,39648,6018,28113,PIKE,NULL,"LSR - BUFFET RESTAURANTS","CLASSIC & VARIED MENU","VARIED MENU","251-500 UNITS",0,"$1,000,001 - $2,500,000","$7 TO $10",457397.325140857,408852.689082206,48544.636058651,72540.6089111721,66691.3026688109,84976.141867373,140936.040170277,0.08758896302034269,<50%
"CHINA WOK",ASHEVILLE,NC,28804,6629,37021,BUNCOMBE,480,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,"INDEPENDENT (1-9 UNITS)","10 TO 19","<=$500,000","$15 TO $20",96739.1182101555,90835.2195561208,5903.89865403464,14508.6356337335,18738.4609454143,13470.7101614741,35903.2929490159,0.021533141788491528,<50%
APPLEBEE'S,FARGO,ND,58102,1833,38017,CASS,2520,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","CLASSIC & VARIED MENU","VARIED MENU","501+ UNITS","OVER 50","$2,500,001 - $5,000,000","$10 TO $15",797989.401826062,728137.90056631,69851.5012597515,97920.1018968506,128640.13386449,166217.315824906,284068.867034094,0.6166536756681517,">50% & <70%"
SUBWAY,RENO,NV,89523,3516,32031,WASHOE,6720,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"501+ UNITS","5 TO 9","<=$500,000","$5 TO $7",140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.12095467842195684,<50%
"PAPA MURPHY'S PIZZA",MARION,OH,43302,5654,39101,MARION,NULL,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","5 TO 9","<=$500,000","$7 TO $10",163666.5183,133970.648111001,29695.8701889987,28652.0786182079,15656.8735618622,34097.1913125,30739.6617597895,0.3645442097558561,<50%
SUBWAY,"SAINT CLAIRSVILLE",OH,43950,8709,39013,BELMONT,9000,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"501+ UNITS","5 TO 9","<=$500,000","$5 TO $7",140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.42937093473997867,<50%
"PIER BEVERAGE & DELI","ROCKY RIVER",OH,44116,1016,39035,CUYAHOGA,1692,"LSR - DELIVERY AND TAKE AWAY ONLY","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,"INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$7 TO $10",47451.4443,41712.1551808372,5739.28911916281,6522.8268510833,6677.53812299117,8713.73808874632,15181.6673917333,0.8237108031472348,">70% & <90%"
